nodes_removed,repetitions,lcc_size_ratio_mean,lcc_size_ratio_std,global_efficiency_ratio_mean,global_efficiency_ratio_std,lcc_size_ratio_q05,lcc_size_ratio_q95,global_efficiency_ratio_q05,global_efficiency_ratio_q95
35,30,0.9870493885977449,0.003458474521762666,0.9732054852297509,0.041917676100232955,0.9798594568842306,0.9909480705097665,0.9098082428518172,1.041147218074597
36,30,0.9867952993488963,0.0034512251908421876,0.9680180325624562,0.03848669131080878,0.979621248213435,0.9907098618389709,0.904668517563602,1.0303598847640003
37,30,0.9865332698110211,0.0034783604052580426,0.9689211510762947,0.03907434904512455,0.9793830395426393,0.9904716531681753,0.9247033553446385,1.0373139165815923
38,30,0.9862156582499604,0.0034653981564466076,0.9660019325754511,0.037942191844543414,0.9791448308718437,0.9902334444973797,0.9112615709863792,1.0224108021586034
39,30,0.9859139272669526,0.003495195443243658,0.9656581403059693,0.036513886078771395,0.9785135778942353,0.9899952358265841,0.9089912391000019,1.0287306580944091
40,30,0.9856757185961569,0.00349519544324367,0.9727376645816015,0.03788346349440242,0.9782753692234397,0.9897570271557885,0.9088510756570624,1.0318995469281953
41,30,0.9853660473241226,0.003447254264840678,0.9617179966636626,0.04032616397477592,0.9781681753215817,0.9895188184849929,0.8981829397426926,1.0217973220521959
42,30,0.985096077497221,0.003417611519557853,0.9660424241612048,0.034806953295425644,0.9779299666507861,0.9892806098141972,0.9106797736184021,1.016923729695922
43,30,0.9848022868032396,0.0033794495926664967,0.9650425809800075,0.036446757082375755,0.9776917579799905,0.9890424011434016,0.9129780582657324,1.0170288793637003
44,30,0.9841750039701445,0.0032957823488972203,0.9583863093146281,0.03862809768156056,0.9774535493091949,0.9885898046688899,0.9113313818941902,1.0191173879565767
45,30,0.9838812132761633,0.0032729352054027693,0.9627124677668448,0.03548981650052527,0.9772153406383992,0.9880895664602192,0.9085169772163404,1.0192278408014288
46,30,0.9834444973797046,0.0032280389126196495,0.9641606115335356,0.03812526573631073,0.9771081467365412,0.9878513577894236,0.9162205171758556,1.029485488740047
47,30,0.9831983484198825,0.003246162361423986,0.9585431802638076,0.03768540852009919,0.9768699380657456,0.987613149118628,0.9060650956905761,1.0067641696194816
48,30,0.9829363188820073,0.003257444569786066,0.9615424818039475,0.0385165953753408,0.97663172939495,0.9873749404478323,0.8988533623191529,1.010875088431456
49,30,0.9825710655867874,0.003319091250109995,0.9562091990504445,0.03709729709767708,0.9763935207241544,0.9871367317770366,0.9102253169853479,1.0242976911156132
50,30,0.9822931554708592,0.0032723373180105703,0.971675220518368,0.04990904788868054,0.9761553120533588,0.986898523106241,0.8920415845112107,1.0482955980588733
