node_id,lat,lon,stop_count,in_degree_weighted,out_degree_weighted,betweenness,closeness,eigenvector
2592,20.68478,-103.261045,2,2,1,0.00033887355529796685,0.02297512454021914,4.2774482624625055e-24
2593,20.65183,-103.20751999999999,2,0,1,0.0,0.0,1.1308881024556818e-104
2594,20.65363,-103.20982,1,1,1,0.00023475292764205526,0.00023030507745927436,1.0630348163083404e-102
2595,20.65388,-103.21197,1,1,1,0.0004693925575391095,0.0002914064245403063,4.944242783936239e-101
2596,20.65295,-103.2128,1,1,1,0.0007039188896911627,0.00038476117731220085,1.516950682872002e-99
2597,20.65214,-103.2135,1,1,1,0.0009383319240982151,0.00044796595458745133,3.453588642110637e-98
2598,20.65322,-103.22656,1,1,1,0.00026251087516729826,0.020922648099349652,1.7930301682537872e-20
2599,20.67933,-103.24705333333333,3,4,3,0.004871633088425151,0.02213243900509025,4.637584418377674e-22
2600,20.677523333333337,-103.25620666666667,3,4,4,0.00582072829829846,0.023631077692767948,7.127256253771668e-22
2601,20.665365,-103.271965,2,1,1,0.00023735877577707806,0.027149066533906575,9.374993426266902e-22
2602,20.66507,-103.27506,1,1,1,0.0002367356381795726,0.026283997326851057,1.1922412711211478e-22
2603,20.6523,-103.27124333333332,3,3,3,0.005707798770968721,0.02917508855050646,1.0831646436413238e-17
2604,20.649214999999998,-103.2723925,4,3,4,0.008299088145758908,0.02892267648808527,2.2698051024266875e-18
2605,20.64509,-103.27484,2,3,3,0.005317657986057806,0.027510630186525366,4.342617328871051e-19
2606,20.63451,-103.27934,2,3,3,0.0016101309030815967,0.028222712350436607,1.4687811492069532e-15
2607,20.64186,-103.27783,1,1,3,0.0006967811317561003,0.027544660054192233,5.771991685842584e-19
2608,20.65225,-103.27353,1,1,1,0.0002830744158849783,0.02598016655180463,8.904412396278394e-19
2609,20.65371,-103.27948,1,1,1,0.0019544993990121117,0.027952225661904924,8.602597992505025e-22
2610,20.686025,-103.279485,2,3,3,0.0014627305368353062,0.02550895799064141,4.371561383119179e-25
2611,20.64154,-103.3023,2,3,2,0.0032093002493343474,0.03338444355005448,4.0951267669289936e-14
2612,20.638605,-103.300675,2,2,2,0.0028387033254361027,0.032205576097933265,4.1190466737731765e-15
2613,20.632372750000002,-103.296625,4,8,7,0.05292939250542215,0.03170733693128089,3.386943973483088e-14
2614,20.62151,-103.28732,1,2,1,0.0011748976156602863,0.029978002325917602,1.538295514515188e-14
2615,20.62065,-103.28673,1,1,1,0.0011742744780627807,0.029326392147601677,1.2950307872686351e-15
2616,20.61976,-103.28611,1,1,1,0.0011736513404652753,0.028702506500533156,1.090283126287174e-16
2617,20.62093,-103.28486,1,1,2,0.0011724050652702643,0.02739113438927672,7.728884119889743e-19
2618,20.63627,-103.29887,1,4,8,0.003425812240031243,0.0315297783864728,7.974945331678836e-15
2619,20.69775,-103.27895,1,1,1,0.0,0.024035305411591927,1.2913830672954866e-26
2620,20.61982,-103.28507,1,1,1,0.00117302820286777,0.02797194762775154,9.179477926944058e-18
2621,20.62193,-103.28468,1,1,2,0.0,0.026846204231392574,6.507832659491725e-20
2622,20.627564999999997,-103.28711,2,3,3,0.0012578315650010122,0.029552402668948013,7.747409284914063e-15
2623,20.628535,-103.28941499999999,2,2,3,0.0007218199334013195,0.02871060189662094,6.569186136603128e-16
2624,20.63323,-103.29183,1,2,1,0.00037815954837706076,0.02799051281429554,5.5931712338122e-17
2625,20.63313,-103.29308499999999,2,3,3,0.0019991387105425026,0.02920471880070304,8.296252104430123e-17
2626,20.63929,-103.31974,1,1,1,0.0016444601198168972,0.02997606290921064,2.694725597442133e-15
2627,20.64132,-103.31979,1,1,1,0.0016438369822193916,0.029139926267857504,2.268490247919867e-16
2628,20.64444,-103.32136,1,1,1,0.0016432138446218862,0.02806719132117781,1.9097546082561626e-17
2629,20.64384,-103.32506,1,1,1,0.0016425907070243809,0.026898600309462267,1.6078187757147223e-18
2630,20.64306,-103.32768,1,1,1,0.0016419675694268753,0.026050476663132868,1.3536803185589648e-19
2631,20.64487,-103.32879,1,1,1,0.0016413444318293699,0.025405784732044665,1.1397648108140537e-20
2632,20.64757,-103.32992,1,1,1,0.0016407212942318645,0.02460692022744576,9.59699165360753e-22
2633,20.64847,-103.32833,1,1,1,0.001640098156634359,0.024079734115441297,8.081209650204649e-23
2634,20.64999,-103.32904,2,2,2,0.00300516603727881,0.02711623963097076,2.694725604247314e-15
2635,20.65536,-103.329565,2,2,4,0.0010079533884013246,0.033777301353537875,5.334692265178274e-14
2636,20.65983,-103.339105,2,2,2,0.0014928299710905697,0.03284035821252102,2.0113738529655845e-14
2637,20.66046,-103.341,1,1,1,0.0,0.031855043038911304,1.737854246303595e-15
